Songs,Artist,Last Week,Peak Position,Week On Chart
Que Vuelvas,Carin Leon X Grupo Frontera,159,34,30
Left And Right,Charlie Puth Featuring Jung Kook,-,5,28
Cuff It,Beyonce,151,12,51
El Merengue,Marshmello & Manuel Turizo,164,103,19
Search & Rescue,Drake,138,2,15
Hey Mor,Ozuna Featuring Feid,152,27,40
Creep,Radiohead,167,56,11
Say Yes To Heaven,Lana Del Rey,145,18,9
Unforgiven,LE SSERAFIM Featuring Nile Rodgers,143,23,12
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,144,1,54
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,150,23,23
Baby Hello,Rauw Alejandro X Bizarrap,109,99,4
Mockingbird,Eminem,153,42,40
"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long",131,16,9
Bones,Imagine Dragons,171,32,71
Unstoppable,Sia,162,79,75
Take Me To Church,Hozier,168,115,121
Religiously,Bailey Zimmerman,175,152,3
Need A Favor,Jelly Roll,181,153,8
No Role Modelz,J. Cole,177,97,106
Shut Up My Moms Calling,Hotel Ugly,184,64,33
Dreams,Fleetwood Mac,190,10,124
Don't Blame Me,Taylor Swift,179,124,27
Titi Me Pregunto,Bad Bunny,160,4,63
Without Me,Eminem,170,39,93
Thunder,Imagine Dragons,198,150,59
Jimmy Cooks,Drake Featuring 21 Savage,176,3,57
Ojitos Lindos,Bad Bunny & Bomba Estereo,161,4,63
Steal The Show,Lauv,185,163,2
Every Breath You Take,The Police,187,107,54
Rubicon,Peso Pluma,158,114,4
Lovely,Billie Eilish & Khalid,-,70,149
Coco Chanel,Eladio Carrion & Bad Bunny,166,22,18
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,188,135,36
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,163,2,28
Where Our Blue Is,Tatsuya Kitani,89,89,2
Snap,Rosa Linn,186,18,54
Hype Boy,NewJeans,192,52,39
Escapism,RAYE Featuring 070 Shake,172,7,34
Aman Guzel Yavas Yuru,Halodayi X Azer Bulbul,196,174,2
Sunroof,Nicky Youre & dazy,189,26,61
Sparks Fly (Taylor’s Version),Taylor Swift,20,20,2
Vagabundo,"Sebastian Yatra, Manuel Turizo & Beele",-,177,2
Set Fire To The Rain,Adele,178,64,30
Flower,Jisoo,173,2,16
Sweet Child O' Mine,Guns N' Roses,194,57,114
Something Just Like This,The Chainsmokers & Coldplay,197,102,119
In Bloom,ZEROBASEONE,-,182,1
Don't Stop Believin',Journey,-,125,109
Mi Bello Angel,Natanael Cano,193,100,3
Easy On Me,Adele,-,1,92
Wake Me Up!,Avicii,-,154,48
Shallow,Lady Gaga & Bradley Cooper,-,59,145
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",200,8,33
Bebe Dame,Fuerza Regida X Grupo Frontera,195,17,29
Trance,"Metro Boomin, Travis Scott & Young Thug",-,42,22
Provenza,Karol G,-,6,62
Radio,Lana Del Rey,199,192,2
The Night We Met,Lord Huron,-,193,1
When I Was Your Man,Bruno Mars,-,74,39
Super,SEVENTEEN,-,37,12
Novidade Na Area,MC Livinho & DJ Matt D,-,196,1
August,Taylor Swift,-,101,4
Smells Like Teen Spirit,Nirvana,-,92,120
Lavender Haze,Taylor Swift,-,2,38
Gangsta's Paradise,Coolio Featuring L.V.,-,21,103
